,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
208,"((-1) + ((-2) / x)) = (-3)
",(= (+ (-1) (/ (-2) (x))) (-3)),True,x = 1,(= (x) (1))
209,"((1 + 2x) - 3) = 4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = -1,(= (x) (-1))
210,"(1+2x)=4x
",(= (+ (1) (* (2) (x))) (* (4) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
211,"((-1) + -2x) = (3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 3/5,(= (x) (/ (3) (5)))
212,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),True,x = 5/4,(= (x) (/ (5) (4)))
213,"((-1)+2x)=((4+-5x)+6x)
",(= (+ (-1) (* (2) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),True,x = 5,(= (x) (5))
214,"-1x = ((-2) + 3)
",(= (* (-1) (x)) (+ (-2) (3))),True,x = -1,(= (x) (-1))
215,"(-1x / (-2)) = (3 / (-4))
",(= (/ (* (-1) (x)) (-2)) (/ (3) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
216,"(-1) = (-2x + 3)
",(= (-1) (+ (* (-2) (x)) (3))),True,x = 2,(= (x) (2))
217,"(1 + 2x) = ((-3) + 4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (4) (x)))),True,x = 2,(= (x) (2))
218,"(1+2x)=(+4x)
",(= (+ (1) (* (2) (x))) (+ (* (4)) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
219,"(1 + 2x) = (3 + -4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (-4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
220,"(-1) = (((-2) / x) + 3)
",(= (-1) (+ (/ (-2) (x)) (3))),True,x = 1/2,(= (x) (/ (1) (2)))
221,"-1x = (2x - 3)
",(= (* (-1) (x)) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1))
222,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
",(= (+ (+ (1) (* (-2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (5)) (* (6) (x)))),True,x = -4,(= (x) (-4))
223,"(1+-2x)=((-4x+5)+6x)
",(= (+ (1) (* (-2) (x))) (+ (+ (* (-4) (x)) (5)) (* (6) (x)))),True,x = -1,(= (x) (-1))
224,"((-1) + -2x) = (3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
225,((-1)+-2x)=3x,(= (+ (-1) (* (-2) (x))) (* (3) (x))),True,x = -1/5,(= (x) (/ (-1) (5)))
226,"(1x + (-2)) = (3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
227,"1 = (2 + ((-3) / x))
",(= (1) (+ (2) (/ (-3) (x)))),True,x = 3,(= (x) (3))
228,"((1 / x) + (-2)) = 3
",(= (+ (/ (1) (x)) (-2)) (3)),True,x = 1/5,(= (x) (/ (1) (5)))
229,"(-1x - 2) = (3 - 4x)
",(= (- (* (-1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
230,"-1x = ((2 + -3x) - 4)
",(= (* (-1) (x)) (- (+ (2) (* (-3) (x))) (4))),True,x = -1,(= (x) (-1))
231,"-1x=(2+-4)
",(= (* (-1) (x)) (+ (2) (-4))),True,x = 2,(= (x) (2))
232,"1 = (-2x + (-3))
",(= (1) (+ (* (-2) (x)) (-3))),True,x = -2,(= (x) (-2))
233,"(1 - 2) = (-3x - 4x)
",(= (- (1) (2)) (- (* (-3) (x)) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
234,"((-1) - 2) = -3x
",(= (- (-1) (2)) (* (-3) (x))),True,x = 1,(= (x) (1))
235,"(-2)=-3x
",(= (-2) (* (-3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
236,"1 = (-2x + 3)
",(= (1) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
237,"1 = ((-2) / x)
",(= (1) (/ (-2) (x))),True,x = -2,(= (x) (-2))
238,"(-1) = (2x + 3)
",(= (-1) (+ (* (2) (x)) (3))),True,x = -2,(= (x) (-2))
239,"1 = 2x
",(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
240,"(1 - 2) = -3x
",(= (- (1) (2)) (* (-3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
241,"1=-3x
",(= (1) (* (-3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
242,"(1 + 2x) = -3x
",(= (+ (1) (* (2) (x))) (* (-3) (x))),True,x = -1/5,(= (x) (/ (-1) (5)))
243,"1=-3x
",(= (1) (* (-3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
244,"(1x - 2) = 3x
",(= (- (* (1) (x)) (2)) (* (3) (x))),True,x = -1,(= (x) (-1))
245,"1x=3x
",(= (* (1) (x)) (* (3) (x))),True,x = 0,(= (x) (0))
246,"(1x / x) = 2x
",(= (/ (* (1) (x)) (x)) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
247,"1x=2x
",(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
248,"(-1x + (-2)) = (3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3/2,(= (x) (/ (-3) (2)))
249,"((1x - 2) + 3) = 4x
",(= (+ (- (* (1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
250,"(1x+3)=4x
",(= (+ (* (1) (x)) (3)) (* (4) (x))),True,x = 1,(= (x) (1))
251,"(-1) = ((2x + 3) + 4x)
",(= (-1) (+ (+ (* (2) (x)) (3)) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
252,"(1x + 2) = (3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
253,"1x=(3x+(-4))
",(= (* (1) (x)) (+ (* (3) (x)) (-4))),True,x = 2,(= (x) (2))
254,"(1 + -2x) = (3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5)))
255,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (+ (4) (* (5) (x))) (6))),True,x = -8/3,(= (x) (/ (-8) (3)))
256,"((+2x)+3)=((4+5x)+6)
",(= (+ (+ (* (2)) (x)) (3)) (+ (+ (4) (* (5) (x))) (6))),True,x = -7/3,(= (x) (/ (-7) (3)))
257,"((-1) / x) = ((-2) - 3)
",(= (/ (-1) (x)) (- (-2) (3))),True,x = 1/5,(= (x) (/ (1) (5)))
258,"1x = (-2)
",(= (* (1) (x)) (-2)),True,x = -2,(= (x) (-2))
259,"((-1x + (-2)) - 3) = 4x
",(= (- (+ (* (-1) (x)) (-2)) (3)) (* (4) (x))),True,x = -1,(= (x) (-1))
260,"(-1x+(-2))=4x
",(= (+ (* (-1) (x)) (-2)) (* (4) (x))),True,x = -2/5,(= (x) (/ (-2) (5)))
261,"1x = (2 - 3)
",(= (* (1) (x)) (- (2) (3))),True,x = -1,(= (x) (-1))
262,1x=2,(= (* (1) (x)) (2)),True,x = 2,(= (x) (2))
263,"((-1) + -2x) = ((-3) + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
264,"(-1) = (-2x + (-3))
",(= (-1) (+ (* (-2) (x)) (-3))),True,x = -1,(= (x) (-1))
265,"(-1x + (-2)) = 3
",(= (+ (* (-1) (x)) (-2)) (3)),True,x = -5,(= (x) (-5))
266,"(1x + 2) = (3 + 4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
267,"1x=(3+4x)
",(= (* (1) (x)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
268,"((1x + 2) + 3x) = 4
",(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4)),True,x = 1/2,(= (x) (/ (1) (2)))
269,"(1x+2)=4
",(= (+ (* (1) (x)) (2)) (4)),True,x = 2,(= (x) (2))
270,"(-1x + 2) = (-3x - 4)
",(= (+ (* (-1) (x)) (2)) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
271,"1 = ((-2x + 3) + 4x)
",(= (1) (+ (+ (* (-2) (x)) (3)) (* (4) (x)))),True,x = -1,(= (x) (-1))
272,"1=((+3)+4x)
",(= (1) (+ (+ (3)) (* (4) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
273,"(1 + -2x) = (-3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3))
274,"(1+-2x)=(+4)
",(= (+ (1) (* (-2) (x))) (+ (4))),True,x = -3/2,(= (x) (/ (-3) (2)))
275,"-1x = (2 - 3)
",(= (* (-1) (x)) (- (2) (3))),True,x = 1,(= (x) (1))
276,"(((-1) / x) + 2) = (-3)
",(= (+ (/ (-1) (x)) (2)) (-3)),True,x = 1/5,(= (x) (/ (1) (5)))
277,"((-1)/x)=(-3)
",(= (/ (-1) (x)) (-3)),True,x = 1/3,(= (x) (/ (1) (3)))
278,"(-1) = (((-2) / x) + (-3))
",(= (-1) (+ (/ (-2) (x)) (-3))),True,x = -1,(= (x) (-1))
279,"((-1) + 2) = (3 / x)
",(= (+ (-1) (2)) (/ (3) (x))),True,x = 3,(= (x) (3))
280,"(-1)=(3/x)
",(= (-1) (/ (3) (x))),True,x = -3,(= (x) (-3))
281,"(1 + 2x) = (-3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
282,"(1+2x)=(+(-4))
",(= (+ (1) (* (2) (x))) (+ (-4))),True,x = -5/2,(= (x) (/ (-5) (2)))
283,"(-1) = (2x - 3)
",(= (-1) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1))
284,(-1)=2x,(= (-1) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
285,"-1x = ((-2x + 3) + 4)
",(= (* (-1) (x)) (+ (+ (* (-2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
286,"((1 - 2x) - 3) = ((4 + 5x) - 6)
",(= (- (- (1) (* (2) (x))) (3)) (- (+ (4) (* (5) (x))) (6))),True,x = 0,(= (x) (0))
287,"(1x + (-2)) = (3 + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
288,"(((-1) + 2x) + 3) = (4 + 5)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5))),True,x = 7/2,(= (x) (/ (7) (2)))
289,"((-1)+2x)=(4+5)
",(= (+ (-1) (* (2) (x))) (+ (4) (5))),True,x = 5,(= (x) (5))
290,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
",(= (+ (+ (* (-1) (x)) (2)) (* (3) (x))) (+ (- (-4) (* (5) (x))) (* (6) (x)))),True,x = -6,(= (x) (-6))
291,"(-1) = (-2x - 3)
",(= (-1) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
292,"((1x + 2) - 3x) = (4x - 5x)
",(= (- (+ (* (1) (x)) (2)) (* (3) (x))) (- (* (4) (x)) (* (5) (x)))),True,x = 2,(= (x) (2))
293,"(-1) = (2 + -3x)
",(= (-1) (+ (2) (* (-3) (x)))),True,x = 1,(= (x) (1))
294,"1x = (2 + 3x)
",(= (* (1) (x)) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
295,1x=2,(= (* (1) (x)) (2)),True,x = 2,(= (x) (2))
296,"((-1) + 2x) = (3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -5,(= (x) (-5))
297,((-1)+2x)=3x,(= (+ (-1) (* (2) (x))) (* (3) (x))),True,x = -1,(= (x) (-1))
298,"(-1x + (-2)) = (3 + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
299,"(+(-2))=(3+4x)
",(= (+ (-2)) (+ (3) (* (4) (x)))),True,x = -5/4,(= (x) (/ (-5) (4)))
300,"(-1) = ((2x - 3) + 4x)
",(= (-1) (+ (- (* (2) (x)) (3)) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
301,"(-1)=(2x+4x)
",(= (-1) (+ (* (2) (x)) (* (4) (x)))),True,x = -1/6,(= (x) (/ (-1) (6)))
302,"1 = (2 - (3 / x))
",(= (1) (- (2) (/ (3) (x)))),True,x = 3,(= (x) (3))
303,"(1 + 2x) = (3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 5,(= (x) (5))
304,"1=(3x+(-4))
",(= (1) (+ (* (3) (x)) (-4))),True,x = 5/3,(= (x) (/ (5) (3)))
305,"((-1x - 2) + 3x) = 4
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = 3,(= (x) (3))
306,"(-1x+3x)=4
",(= (+ (* (-1) (x)) (* (3) (x))) (4)),True,x = 2,(= (x) (2))
307,"(1 + -2x) = (3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
308,"1 = ((-2) + 3x)
",(= (1) (+ (-2) (* (3) (x)))),True,x = 1,(= (x) (1))
309,"1=(+3x)
",(= (1) (+ (* (3)) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
310,"(1 + 2x) = (-3)
",(= (+ (1) (* (2) (x))) (-3)),True,x = -2,(= (x) (-2))
311,"((1 / x) + 2) = 3
",(= (+ (/ (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
312,"(1/x)=3
",(= (/ (1) (x)) (3)),True,x = 1/3,(= (x) (/ (1) (3)))
313,"(1 + (2 / x)) = (-3)
",(= (+ (1) (/ (2) (x))) (-3)),True,x = -1/2,(= (x) (/ (-1) (2)))
314,"((-1) - 2x) = (-3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
315,"((-1) + ((-2) / x)) = 3
",(= (+ (-1) (/ (-2) (x))) (3)),True,x = -1/2,(= (x) (/ (-1) (2)))
316,"(1x + 2) = 3
",(= (+ (* (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
317,"1x=3
",(= (* (1) (x)) (3)),True,x = 3,(= (x) (3))
318,"((-1) + (2 / x)) = (-3)
",(= (+ (-1) (/ (2) (x))) (-3)),True,x = -1,(= (x) (-1))
319,"1 = (2 + -3x)
",(= (1) (+ (2) (* (-3) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
320,"((-1) - 2x) = ((-3) - 4x)
",(= (- (-1) (* (2) (x))) (- (-3) (* (4) (x)))),True,x = -1,(= (x) (-1))
321,"(-1x + (-2)) = (3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1/2,(= (x) (/ (1) (2)))
322,"(-1) = (-2x + 3x)
",(= (-1) (+ (* (-2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1))
323,(-1)=-2x,(= (-1) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
324,"(1 + ((-2) / x)) = 3
",(= (+ (1) (/ (-2) (x))) (3)),True,x = -1,(= (x) (-1))
325,"-1x = ((2x - 3) - 4)
",(= (* (-1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7/3,(= (x) (/ (7) (3)))
326,"((-1) + 2x) = (-3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5)))
327,((-1)+2x)=-3x,(= (+ (-1) (* (2) (x))) (* (-3) (x))),True,x = 1/5,(= (x) (/ (1) (5)))
328,"(-1x + (-2)) = (3 + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
329,"(-1) = (((-2) - 3x) + 4x)
",(= (-1) (+ (- (-2) (* (3) (x))) (* (4) (x)))),True,x = 1,(= (x) (1))
330,"(-1) = 2x
",(= (-1) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
331,"(-1) = -2x
",(= (-1) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
332,"-1x = (((-2) + -3x) - 4)
",(= (* (-1) (x)) (- (+ (-2) (* (-3) (x))) (4))),True,x = -3,(= (x) (-3))
333,"-1x=((+-3x)-4)
",(= (* (-1) (x)) (+ (* (-3) (x)) (-4))),True,x = -2,(= (x) (-2))
334,"(((1 / x) - 2) * x) = -3x
",(= (* (- (/ (1) (x)) (2)) (x)) (* (-3) (x))),True,x = -1,(= (x) (-1))
335,"(-1) = (2 + (3 / x))
",(= (-1) (+ (2) (/ (3) (x)))),True,x = -1,(= (x) (-1))
336,"((1 + 2x) + 3x) = 4
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (4)),True,x = 3/5,(= (x) (/ (3) (5)))
337,"(1+2x)=4
",(= (+ (1) (* (2) (x))) (4)),True,x = 3/2,(= (x) (/ (3) (2)))
338,"(1 + 2x) = ((-3) + -4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
339,"1=((-3)+-4x)
",(= (1) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
340,"1x = (-2x + 3)
",(= (* (1) (x)) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
341,"1x=(+3)
",(= (* (1) (x)) (+ (3))),True,x = 3,(= (x) (3))
342,"(1x + 2) = (3 + -4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
343,"1x=(3+-4x)
",(= (* (1) (x)) (+ (3) (* (-4) (x)))),True,x = 3/5,(= (x) (/ (3) (5)))
344,"(1 / (-2)) = x
",(= (/ (1) (-2)) (x)),True,x = -1/2,(= (x) (/ (-1) (2)))
345,"(-1x + 2) = (-3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
346,"(1 / x) = ((-2) - 3)
",(= (/ (1) (x)) (- (-2) (3))),True,x = -1/5,(= (x) (/ (-1) (5)))
347,(1/x)=(-2),(= (/ (1) (x)) (-2)),True,x = -1/2,(= (x) (/ (-1) (2)))
348,"(-1x - 2x) = ((-3) + 4)
",(= (- (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = -1/3,(= (x) (/ (-1) (3)))
349,"((-1x + 2) + 3) = -4x
",(= (+ (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = -5/3,(= (x) (/ (-5) (3)))
350,"((+2)+3)=-4x
",(= (+ (+ (2)) (3)) (* (-4) (x))),True,x = -5/4,(= (x) (/ (-5) (4)))
351,"(1 + -2x) = (3 + -4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
352,"-1x = ((-2) + 3x)
",(= (* (-1) (x)) (+ (-2) (* (3) (x)))),True,x = 1/2,(= (x) (/ (1) (2)))
353,"((-1) + 2x) = (3 + -4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (-4) (x)))),True,x = 2/3,(= (x) (/ (2) (3)))
354,"(-1)=(3+-4x)
",(= (-1) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
355,"(1x + (-2)) = (3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
356,"-1x = 2
",(= (* (-1) (x)) (2)),True,x = -2,(= (x) (-2))
357,"(-1x + (-2)) = (-3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3))
358,"((-1) / (-2)) = x
",(= (/ (-1) (-2)) (x)),True,x = 1/2,(= (x) (/ (1) (2)))
359,"(1 / x) = (-2)
",(= (/ (1) (x)) (-2)),True,x = -1/2,(= (x) (/ (-1) (2)))
360,"((-1) + -2x) = 3
",(= (+ (-1) (* (-2) (x))) (3)),True,x = -2,(= (x) (-2))
361,"((-1) - 2) = ((-3x + 4) - 5)
",(= (- (-1) (2)) (- (+ (* (-3) (x)) (4)) (5))),True,x = 2/3,(= (x) (/ (2) (3)))
362,"(-1x - 2) = 3x
",(= (- (* (-1) (x)) (2)) (* (3) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
363,"-1x=3x
",(= (* (-1) (x)) (* (3) (x))),True,x = 0,(= (x) (0))
364,"1 = ((2 / x) + 3)
",(= (1) (+ (/ (2) (x)) (3))),True,x = -1,(= (x) (-1))
365,1=(2/x),(= (1) (/ (2) (x))),True,x = 2,(= (x) (2))
366,"1x = ((-2) - 3)
",(= (* (1) (x)) (- (-2) (3))),True,x = -5,(= (x) (-5))
367,1x=(-2),(= (* (1) (x)) (-2)),True,x = -2,(= (x) (-2))
368,"(1x - 2) = (3x - 4)
",(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
369,"(-1x + 2x) = ((-3) - 4)
",(= (+ (* (-1) (x)) (* (2) (x))) (- (-3) (4))),True,x = -7,(= (x) (-7))
370,"(-1) = (2x + (-3))
",(= (-1) (+ (* (2) (x)) (-3))),True,x = 1,(= (x) (1))
371,"(1x - 2) = (-3)
",(= (- (* (1) (x)) (2)) (-3)),True,x = -1,(= (x) (-1))
372,"1x=(-3)
",(= (* (1) (x)) (-3)),True,x = -3,(= (x) (-3))
373,"(1x + (-2)) = 3
",(= (+ (* (1) (x)) (-2)) (3)),True,x = 5,(= (x) (5))
374,"(((-1) - 2x) - 3) = 4x
",(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
375,"(((1 / x) * x) + 2x) = 3x
",(= (+ (* (/ (1) (x)) (x)) (* (2) (x))) (* (3) (x))),True,x = 1,(= (x) (1))
376,"((1/x)*x)=3x
",(= (* (/ (1) (x)) (x)) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
377,"(((-1) - 2x) + 3x) = 4
",(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4)),True,x = 5,(= (x) (5))
378,"(-1x + 2) = ((-3) - 4x)
",(= (+ (* (-1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
379,"(-1x+2)=(-4x)
",(= (+ (* (-1) (x)) (2)) (* (-4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
380,"x = ((-1) / (-2))
",(= (x) (/ (-1) (-2))),True,x = 1/2,(= (x) (/ (1) (2)))
381,"(1x + (-2)) = (-3)
",(= (+ (* (1) (x)) (-2)) (-3)),True,x = -1,(= (x) (-1))
382,"x = ((-1) / 2)
",(= (x) (/ (-1) (2))),True,x = -1/2,(= (x) (/ (-1) (2)))
383,"((-1) / x) = 2
",(= (/ (-1) (x)) (2)),True,x = -1/2,(= (x) (/ (-1) (2)))
384,"((-1x - 2) - 3x) = 4
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = -3/2,(= (x) (/ (-3) (2)))
385,"1x = (2x - 3)
",(= (* (1) (x)) (- (* (2) (x)) (3))),True,x = 3,(= (x) (3))
386,1x=2x,(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
387,"((-1x - 1x) + 2) = (-3)
",(= (+ (- (* (-1) (x)) (* (1) (x))) (2)) (-3)),True,x = 5/2,(= (x) (/ (5) (2)))
388,"(1x - -2x) = ((-3x + 4) - -5x)
",(= (- (* (1) (x)) (* (-2) (x))) (- (+ (* (-3) (x)) (4)) (* (-5) (x)))),True,x = 4,(= (x) (4))
389,"1x = ((2x - 3) - 4)
",(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
390,"(1 - 2x) = (3x - 4)
",(= (- (1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
391,"-1x = ((2 - 3x) + 4)
",(= (* (-1) (x)) (+ (- (2) (* (3) (x))) (4))),True,x = 3,(= (x) (3))
392,"-1x=(2+4)
",(= (* (-1) (x)) (+ (2) (4))),True,x = -6,(= (x) (-6))
393,"((-1) + 2x) = (-3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
394,((-1)+2x)=-3x,(= (+ (-1) (* (2) (x))) (* (-3) (x))),True,x = 1/5,(= (x) (/ (1) (5)))
395,x = (1 / 2),(= (x) (/ (1) (2))),True,x = 1/2,(= (x) (/ (1) (2)))
