,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
199,"1 = (2 + ((-3) / x))
",(= (1) (+ (2) (/ (-3) (x)))),True,x = 3,(= (x) (3))
200,"((1 / x) + (-2)) = 3
",(= (+ (/ (1) (x)) (-2)) (3)),True,x = 1/5,(= (x) (/ (1) (5)))
201,"(-1x - 2) = (3 - 4x)
",(= (- (* (-1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
202,"-1x = ((2 + -3x) - 4)
",(= (* (-1) (x)) (- (+ (2) (* (-3) (x))) (4))),True,x = -1,(= (x) (-1))
203,"-1x=(2+-4)
",(= (* (-1) (x)) (+ (2) (-4))),True,x = 2,(= (x) (2))
204,"1 = (-2x + (-3))
",(= (1) (+ (* (-2) (x)) (-3))),True,x = -2,(= (x) (-2))
205,"(1 - 2) = (-3x - 4x)
",(= (- (1) (2)) (- (* (-3) (x)) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
206,"((-1) - 2) = -3x
",(= (- (-1) (2)) (* (-3) (x))),True,x = 1,(= (x) (1))
207,"(-2)=-3x
",(= (-2) (* (-3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
208,"1 = (-2x + 3)
",(= (1) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
209,"(-1) = (2x + 3)
",(= (-1) (+ (* (2) (x)) (3))),True,x = -2,(= (x) (-2))
210,"1 = 2x
",(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
211,"1=2x
",(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
212,"(1 - 2) = -3x
",(= (- (1) (2)) (* (-3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
213,"1=-3x
",(= (1) (* (-3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
214,"(1 + 2x) = -3x
",(= (+ (1) (* (2) (x))) (* (-3) (x))),True,x = -1/5,(= (x) (/ (-1) (5)))
215,"(1x - 2) = 3x
",(= (- (* (1) (x)) (2)) (* (3) (x))),True,x = -1,(= (x) (-1))
216,"1x=3x
",(= (* (1) (x)) (* (3) (x))),True,x = 0,(= (x) (0))
217,"(1x / x) = 2x
",(= (/ (* (1) (x)) (x)) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
218,"1x=2x
",(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
219,"(-1x + (-2)) = (3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3/2,(= (x) (/ (-3) (2)))
220,"((1x - 2) + 3) = 4x
",(= (+ (- (* (1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
221,"(-1) = ((2x + 3) + 4x)
",(= (-1) (+ (+ (* (2) (x)) (3)) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
222,(-1)=(2x+3),(= (-1) (+ (* (2) (x)) (3))),True,x = -2,(= (x) (-2))
223,"(1x + 2) = (3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
224,"(1 + -2x) = (3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5)))
225,(1+-2x)=3x,(= (+ (1) (* (-2) (x))) (* (3) (x))),True,x = 1/5,(= (x) (/ (1) (5)))
226,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (+ (4) (* (5) (x))) (6))),True,x = -8/3,(= (x) (/ (-8) (3)))
227,"((-1)+2x)=((4+5x)+6)
",(= (+ (-1) (* (2) (x))) (+ (+ (4) (* (5) (x))) (6))),True,x = -11/3,(= (x) (/ (-1) (1) (3)))
228,"((-1) / x) = ((-2) - 3)
",(= (/ (-1) (x)) (- (-2) (3))),True,x = 1/5,(= (x) (/ (1) (5)))
229,"((-1x + (-2)) - 3) = 4x
",(= (- (+ (* (-1) (x)) (-2)) (3)) (* (4) (x))),True,x = -1,(= (x) (-1))
230,"((-1) + -2x) = ((-3) + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
231,"(+-2x)=((-3)+4x)
",(= (+ (* (-2)) (x)) (+ (-3) (* (4) (x)))),True,x = 1/2,(= (x) (/ (1) (2)))
232,"(-1) = (-2x + (-3))
",(= (-1) (+ (* (-2) (x)) (-3))),True,x = -1,(= (x) (-1))
233,"(-1x + (-2)) = 3
",(= (+ (* (-1) (x)) (-2)) (3)),True,x = -5,(= (x) (-5))
234,"(1x + 2) = (3 + 4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
235,(1x+2)=3,(= (+ (* (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
236,"((1x + 2) + 3x) = 4
",(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4)),True,x = 1/2,(= (x) (/ (1) (2)))
237,"(1x+2)=4
",(= (+ (* (1) (x)) (2)) (4)),True,x = 2,(= (x) (2))
238,"(-1x + 2) = (-3x - 4)
",(= (+ (* (-1) (x)) (2)) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
239,"1 = ((-2x + 3) + 4x)
",(= (1) (+ (+ (* (-2) (x)) (3)) (* (4) (x)))),True,x = -1,(= (x) (-1))
240,"1=((+3)+4x)
",(= (1) (+ (+ (3)) (* (4) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
241,"(1 + -2x) = (-3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3))
242,"(1+-2x)=(+4)
",(= (+ (1) (* (-2) (x))) (+ (4))),True,x = -3/2,(= (x) (/ (-3) (2)))
243,"(((-1) / x) + 2) = (-3)
",(= (+ (/ (-1) (x)) (2)) (-3)),True,x = 1/5,(= (x) (/ (1) (5)))
244,"(-1) = (((-2) / x) + (-3))
",(= (-1) (+ (/ (-2) (x)) (-3))),True,x = -1,(= (x) (-1))
245,"(1 + 2x) = (-3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
246,"(1+2x)=(+(-4))
",(= (+ (1) (* (2) (x))) (+ (-4))),True,x = -5/2,(= (x) (/ (-5) (2)))
247,"(-1) = (2x - 3)
",(= (-1) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1))
248,"-1x = ((-2x + 3) + 4)
",(= (* (-1) (x)) (+ (+ (* (-2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
249,"-1x=(-2x+4)
",(= (* (-1) (x)) (+ (* (-2) (x)) (4))),True,x = 4,(= (x) (4))
250,"((1 - 2x) - 3) = ((4 + 5x) - 6)
",(= (- (- (1) (* (2) (x))) (3)) (- (+ (4) (* (5) (x))) (6))),True,x = 0,(= (x) (0))
251,"(1x + (-2)) = (3 + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
252,"(((-1) + 2x) + 3) = (4 + 5)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5))),True,x = 7/2,(= (x) (/ (7) (2)))
253,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
",(= (+ (+ (* (-1) (x)) (2)) (* (3) (x))) (+ (- (-4) (* (5) (x))) (* (6) (x)))),True,x = -6,(= (x) (-6))
254,"(-1) = (-2x - 3)
",(= (-1) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
255,"((1x + 2) - 3x) = (4x - 5x)
",(= (- (+ (* (1) (x)) (2)) (* (3) (x))) (- (* (4) (x)) (* (5) (x)))),True,x = 2,(= (x) (2))
256,"(-1) = (2 + -3x)
",(= (-1) (+ (2) (* (-3) (x)))),True,x = 1,(= (x) (1))
257,"1x = (2 + 3x)
",(= (* (1) (x)) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
258,1x=2,(= (* (1) (x)) (2)),True,x = 2,(= (x) (2))
259,"((-1) + 2x) = (3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -5,(= (x) (-5))
260,((-1)+2x)=3x,(= (+ (-1) (* (2) (x))) (* (3) (x))),True,x = -1,(= (x) (-1))
261,"(-1x + (-2)) = (3 + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
262,"(-1) = ((2x - 3) + 4x)
",(= (-1) (+ (- (* (2) (x)) (3)) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
263,"(-1)=(2x+4x)
",(= (-1) (+ (* (2) (x)) (* (4) (x)))),True,x = -1/6,(= (x) (/ (-1) (6)))
264,"1 = (2 - (3 / x))
",(= (1) (- (2) (/ (3) (x)))),True,x = 3,(= (x) (3))
265,"(1 + 2x) = (3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 5,(= (x) (5))
266,"((-1x - 2) + 3x) = 4
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = 3,(= (x) (3))
267,"(-1x+3x)=4
",(= (+ (* (-1) (x)) (* (3) (x))) (4)),True,x = 2,(= (x) (2))
268,"(1 + -2x) = (3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
269,"1 = ((-2) + 3x)
",(= (1) (+ (-2) (* (3) (x)))),True,x = 1,(= (x) (1))
270,"1=(+3x)
",(= (1) (+ (* (3)) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
271,"(1 + 2x) = (-3)
",(= (+ (1) (* (2) (x))) (-3)),True,x = -2,(= (x) (-2))
272,"(1 + (2 / x)) = (-3)
",(= (+ (1) (/ (2) (x))) (-3)),True,x = -1/2,(= (x) (/ (-1) (2)))
273,"((-1) - 2x) = (-3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
274,"((-1) + ((-2) / x)) = 3
",(= (+ (-1) (/ (-2) (x))) (3)),True,x = -1/2,(= (x) (/ (-1) (2)))
275,"((-1) + (2 / x)) = (-3)
",(= (+ (-1) (/ (2) (x))) (-3)),True,x = -1,(= (x) (-1))
276,"(+(2/x))=(-3)
",(= (+ (/ (2)) (x)) (-3)),True,x = -2/3,(= (x) (/ (-2) (3)))
277,"1 = (2 + -3x)
",(= (1) (+ (2) (* (-3) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
278,"((-1) - 2x) = ((-3) - 4x)
",(= (- (-1) (* (2) (x))) (- (-3) (* (4) (x)))),True,x = -1,(= (x) (-1))
279,"(-1x + (-2)) = (3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1/2,(= (x) (/ (1) (2)))
280,"(1 + ((-2) / x)) = 3
",(= (+ (1) (/ (-2) (x))) (3)),True,x = -1,(= (x) (-1))
281,"-1x = ((2x - 3) - 4)
",(= (* (-1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7/3,(= (x) (/ (7) (3)))
282,"((-1) + 2x) = (-3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5)))
283,"(-1x + (-2)) = (3 + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
284,"(-1) = (((-2) - 3x) + 4x)
",(= (-1) (+ (- (-2) (* (3) (x))) (* (4) (x)))),True,x = 1,(= (x) (1))
285,"(-1) = 2x
",(= (-1) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
286,"(-1) = -2x
",(= (-1) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
287,"-1x = (((-2) + -3x) - 4)
",(= (* (-1) (x)) (- (+ (-2) (* (-3) (x))) (4))),True,x = -3,(= (x) (-3))
288,"(((1 / x) - 2) * x) = -3x
",(= (* (- (/ (1) (x)) (2)) (x)) (* (-3) (x))),True,x = -1,(= (x) (-1))
289,"(-1) = (2 + (3 / x))
",(= (-1) (+ (2) (/ (3) (x)))),True,x = -1,(= (x) (-1))
290,"((1 + 2x) + 3x) = 4
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (4)),True,x = 3/5,(= (x) (/ (3) (5)))
291,"(1+3x)=4
",(= (+ (1) (* (3) (x))) (4)),True,x = 1,(= (x) (1))
292,"(1 + 2x) = ((-3) + -4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
293,"1x = (-2x + 3)
",(= (* (1) (x)) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
294,"1x=(+3)
",(= (* (1) (x)) (+ (3))),True,x = 3,(= (x) (3))
295,"(1x + 2) = (3 + -4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
296,"1x=(3+-4x)
",(= (* (1) (x)) (+ (3) (* (-4) (x)))),True,x = 3/5,(= (x) (/ (3) (5)))
297,"(-1x + 2) = (-3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
298,"(1 / x) = ((-2) - 3)
",(= (/ (1) (x)) (- (-2) (3))),True,x = -1/5,(= (x) (/ (-1) (5)))
299,(1/x)=(-2),(= (/ (1) (x)) (-2)),True,x = -1/2,(= (x) (/ (-1) (2)))
300,"(-1x - 2x) = ((-3) + 4)
",(= (- (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = -1/3,(= (x) (/ (-1) (3)))
301,"-1x=((-3)+4)
",(= (* (-1) (x)) (+ (-3) (4))),True,x = -1,(= (x) (-1))
302,"((-1x + 2) + 3) = -4x
",(= (+ (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = -5/3,(= (x) (/ (-5) (3)))
303,"(-1x+2)=-4x
",(= (+ (* (-1) (x)) (2)) (* (-4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
304,"(1 + -2x) = (3 + -4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
305,"-1x = ((-2) + 3x)
",(= (* (-1) (x)) (+ (-2) (* (3) (x)))),True,x = 1/2,(= (x) (/ (1) (2)))
306,"((-1) + 2x) = (3 + -4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (-4) (x)))),True,x = 2/3,(= (x) (/ (2) (3)))
307,"(1x + (-2)) = (3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
308,"(-1x + (-2)) = (-3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3))
309,"(1 / x) = (-2)
",(= (/ (1) (x)) (-2)),True,x = -1/2,(= (x) (/ (-1) (2)))
310,"((-1) + -2x) = 3
",(= (+ (-1) (* (-2) (x))) (3)),True,x = -2,(= (x) (-2))
311,"((-1) - 2) = ((-3x + 4) - 5)
",(= (- (-1) (2)) (- (+ (* (-3) (x)) (4)) (5))),True,x = 2/3,(= (x) (/ (2) (3)))
312,"(-1x - 2) = 3x
",(= (- (* (-1) (x)) (2)) (* (3) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
313,"(-2)=3x
",(= (-2) (* (3) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
314,"1 = ((2 / x) + 3)
",(= (1) (+ (/ (2) (x)) (3))),True,x = -1,(= (x) (-1))
315,1=(2/x),(= (1) (/ (2) (x))),True,x = 2,(= (x) (2))
316,"(1x - 2) = (3x - 4)
",(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
317,"(-1) = (2x + (-3))
",(= (-1) (+ (* (2) (x)) (-3))),True,x = 1,(= (x) (1))
318,"(((-1) - 2x) - 3) = 4x
",(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
319,"(((1 / x) * x) + 2x) = 3x
",(= (+ (* (/ (1) (x)) (x)) (* (2) (x))) (* (3) (x))),True,x = 1,(= (x) (1))
320,"((1/x)*x)=3x
",(= (* (/ (1) (x)) (x)) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
321,"(((-1) - 2x) + 3x) = 4
",(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4)),True,x = 5,(= (x) (5))
322,"(-1x + 2) = ((-3) - 4x)
",(= (+ (* (-1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
323,"((-1) / x) = 2
",(= (/ (-1) (x)) (2)),True,x = -1/2,(= (x) (/ (-1) (2)))
324,"((-1x - 2) - 3x) = 4
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = -3/2,(= (x) (/ (-3) (2)))
325,"1x = (2x - 3)
",(= (* (1) (x)) (- (* (2) (x)) (3))),True,x = 3,(= (x) (3))
326,1x=2x,(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
327,"((-1x - 1x) + 2) = (-3)
",(= (+ (- (* (-1) (x)) (* (1) (x))) (2)) (-3)),True,x = 5/2,(= (x) (/ (5) (2)))
328,"(-1x+2)=(-3)
",(= (+ (* (-1) (x)) (2)) (-3)),True,x = 5,(= (x) (5))
329,"(1x - -2x) = ((-3x + 4) - -5x)
",(= (- (* (1) (x)) (* (-2) (x))) (- (+ (* (-3) (x)) (4)) (* (-5) (x)))),True,x = 4,(= (x) (4))
330,"1x = ((2x - 3) - 4)
",(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
331,"(1 - 2x) = (3x - 4)
",(= (- (1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
332,"-1x = ((2 - 3x) + 4)
",(= (* (-1) (x)) (+ (- (2) (* (3) (x))) (4))),True,x = 3,(= (x) (3))
333,"-1x=(2+4)
",(= (* (-1) (x)) (+ (2) (4))),True,x = -6,(= (x) (-6))
334,"((-1) + 2x) = (-3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
335,((-1)+2x)=-3x,(= (+ (-1) (* (2) (x))) (* (-3) (x))),True,x = 1/5,(= (x) (/ (1) (5)))
