,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
182,"((-1) + 2x) = (3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (4))),TRUE,x = -5,(= (x) (-5))
183,((-1)+2x)=3x,(= (+ (-1) (* (2) (x))) (* (3) (x))),TRUE,x = -1,(= (x) (-1))
184,"(-1x + (-2)) = (3 + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (4) (x)))),TRUE,x = -1,(= (x) (-1))
185,"(-1) = ((2x - 3) + 4x)
",(= (-1) (+ (- (* (2) (x)) (3)) (* (4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
186,"(1 + 2x) = (3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (-4))),TRUE,x = 5,(= (x) (5))
187,"1=(3x+(-4))
",(= (1) (+ (* (3) (x)) (-4))),TRUE,x = 5/3,(= (x) (/ (5) (3)))
188,"((-1x - 2) + 3x) = 4
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (4)),TRUE,x = 3,(= (x) (3))
189,"(1 + -2x) = (3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (-4))),TRUE,x = 1,(= (x) (1))
190,"((-1) - 2x) = (-3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (-3) (x)) (4))),TRUE,x = -3,(= (x) (-3))
191,"1 = (2 + -3x)
",(= (1) (+ (2) (* (-3) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
192,"((-1) - 2x) = ((-3) - 4x)
",(= (- (-1) (* (2) (x))) (- (-3) (* (4) (x)))),TRUE,x = -1,(= (x) (-1))
193,"(-1x + (-2)) = (3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (-4))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
194,"-1x = ((2x - 3) - 4)
",(= (* (-1) (x)) (- (- (* (2) (x)) (3)) (4))),TRUE,x = 7/3,(= (x) (/ (7) (3)))
195,"((-1) + 2x) = (-3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (-3) (x)) (4))),TRUE,x = -3/5,(= (x) (/ (-3) (5)))
196,((-1)+2x)=-3x,(= (+ (-1) (* (2) (x))) (* (-3) (x))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
197,"(-1x + (-2)) = (3 + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (-4) (x)))),TRUE,x = 5/3,(= (x) (/ (5) (3)))
198,"(-1) = (((-2) - 3x) + 4x)
",(= (-1) (+ (- (-2) (* (3) (x))) (* (4) (x)))),TRUE,x = 1,(= (x) (1))
199,"-1x = (((-2) + -3x) - 4)
",(= (* (-1) (x)) (- (+ (-2) (* (-3) (x))) (4))),TRUE,x = -3,(= (x) (-3))
200,"(((1 / x) - 2) * x) = -3x
",(= (* (- (/ (1) (x)) (2)) (x)) (* (-3) (x))),TRUE,x = -1,(= (x) (-1))
201,"((1 + 2x) + 3x) = 4
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (4)),TRUE,x = 3/5,(= (x) (/ (3) (5)))
202,"(1+2x)=4
",(= (+ (1) (* (2) (x))) (4)),TRUE,x = 3/2,(= (x) (/ (3) (2)))
203,"(1 + 2x) = ((-3) + -4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (-4) (x)))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
204,"1=((-3)+-4x)
",(= (1) (+ (-3) (* (-4) (x)))),TRUE,x = -1,(= (x) (-1))
205,"1x = (-2x + 3)
",(= (* (1) (x)) (+ (* (-2) (x)) (3))),TRUE,x = 1,(= (x) (1))
206,"1x=(+3)
",(= (* (1) (x)) (+ (3))),TRUE,x = 3,(= (x) (3))
207,"(1x + 2) = (3 + -4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x)))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
208,"1x=(3+-4x)
",(= (* (1) (x)) (+ (3) (* (-4) (x)))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
209,"(-1x + 2) = (-3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (-4))),TRUE,x = -3,(= (x) (-3))
210,"(+2)=(-3x+(-4))
",(= (+ (2)) (+ (* (-3) (x)) (-4))),TRUE,x = -2,(= (x) (-2))
211,"((-1x + 2) + 3) = -4x
",(= (+ (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),TRUE,x = -5/3,(= (x) (/ (-5) (3)))
212,"(-1x+2)=-4x
",(= (+ (* (-1) (x)) (2)) (* (-4) (x))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
213,"(1 + -2x) = (3 + -4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (-4) (x)))),TRUE,x = 1,(= (x) (1))
214,"-1x = ((-2) + 3x)
",(= (* (-1) (x)) (+ (-2) (* (3) (x)))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
215,-1x=(-2),(= (* (-1) (x)) (-2)),TRUE,x = 2,(= (x) (2))
216,"((-1) + 2x) = (3 + -4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (-4) (x)))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
217,"(1x + (-2)) = (3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4))),TRUE,x = -3,(= (x) (-3))
218,"(-1x + (-2)) = (-3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (4))),TRUE,x = 3,(= (x) (3))
219,(-1x+(-2))=-3x,(= (+ (* (-1) (x)) (-2)) (* (-3) (x))),TRUE,x = 1,(= (x) (1))
220,"((-1) + -2x) = 3
",(= (+ (-1) (* (-2) (x))) (3)),TRUE,x = -2,(= (x) (-2))
221,"(-1x - 2) = 3x
",(= (- (* (-1) (x)) (2)) (* (3) (x))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
222,"-1x=3x
",(= (* (-1) (x)) (* (3) (x))),TRUE,x = 0,(= (x) (0))
223,"(1x - 2) = (3x - 4)
",(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4))),TRUE,x = 1,(= (x) (1))
224,"(((-1) - 2x) - 3) = 4x
",(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
225,"(((1 / x) * x) + 2x) = 3x
",(= (+ (* (/ (1) (x)) (x)) (* (2) (x))) (* (3) (x))),TRUE,x = 1,(= (x) (1))
226,"(((-1) - 2x) + 3x) = 4
",(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4)),TRUE,x = 5,(= (x) (5))
227,"(-1x + 2) = ((-3) - 4x)
",(= (+ (* (-1) (x)) (2)) (- (-3) (* (4) (x)))),TRUE,x = -5/3,(= (x) (/ (-5) (3)))
228,"((-1x - 2) - 3x) = 4
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (4)),TRUE,x = -3/2,(= (x) (/ (-3) (2)))
229,"1x = (2x - 3)
",(= (* (1) (x)) (- (* (2) (x)) (3))),TRUE,x = 3,(= (x) (3))
230,1x=2x,(= (* (1) (x)) (* (2) (x))),TRUE,x = 0,(= (x) (0))
231,"((-1x - 1x) + 2) = (-3)
",(= (+ (- (* (-1) (x)) (* (1) (x))) (2)) (-3)),TRUE,x = 5/2,(= (x) (/ (5) (2)))
232,"(1x - -2x) = ((-3x + 4) - -5x)
",(= (- (* (1) (x)) (* (-2) (x))) (- (+ (* (-3) (x)) (4)) (* (-5) (x)))),TRUE,x = 4,(= (x) (4))
233,"1x = ((2x - 3) - 4)
",(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4))),TRUE,x = 7,(= (x) (7))
234,"(1 - 2x) = (3x - 4)
",(= (- (1) (* (2) (x))) (- (* (3) (x)) (4))),TRUE,x = 1,(= (x) (1))
235,"-1x = ((2 - 3x) + 4)
",(= (* (-1) (x)) (+ (- (2) (* (3) (x))) (4))),TRUE,x = 3,(= (x) (3))
236,"((-1) + 2x) = (-3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (4))),TRUE,x = 1,(= (x) (1))
237,"(-1)=(-3x+4)
",(= (-1) (+ (* (-3) (x)) (4))),TRUE,x = 5/3,(= (x) (/ (5) (3)))
